Nombre Científico,Nombre Común
Cotton leafroll bushy virus ,CLRBV
Cotton leafroll dwarf virus ,CLRDV 
Cowpea aphid-borne mosaic virus ,CABMV
Cowpea chlorotic mottle virus,
Cowpea mild mottle virus ,CpMMV
Craspedochaeta punctipennis,
Crassocephalum crepidioides,
Cratosomus flavofasciatus ,Taladro de los cítricos
Crepis setosa ,Radicheta amarilla 
Crepis tectorum,
Criconema duplicivestitum,
Criconema mutabile,
Criconemella curvata,
Criconemella douceti,
Criconemella ornata,
Criconemella peruensiformis,
Criconemella ritteri,
Criconemella sphaerocephala,
Criconemella talensis,
Criconemella xenoplax,
Crioceris spp.,
Criodion angustatum,
Criodon angustatum,
Crisicoccus matsumotoi,
Cronartium spp.,
Croton Palustris,
Cryphonectria parasitica,
Cryptoblabes gnidiella ,Taladro del fruto
Cryptocarenus diadematus,
Cryptocarenus heveae,
Cryptocarenus schaufussi,
Cryptocarenus seriatus,
Cryptolestes ferrugineus ,Gorgojo plano
Cryptolestes pusilloides ,Gorgojo plano de los granos
Cryptomphalus aspersus ,caracol común de jardín 
Cryptomyzus ballotae,
Cryptophlebia ombrodelta,
Cryptorhynchus lapathi,
Cryptosporiopsis eucalypti,
Cryptotermes brevis ,Polilla de la madera
Ctenarytaina eucalypti ,Psílido del eucalipto
Ctenarytaina spatulata ,Psílido del eucalipto
Ctenopseustis obliquana,
Ctenopseustis serrana,
Cucumber green mottle mosaic virus ,Virus del Mosaico Verde moteado del Pepino
Cucumber Mosaic Virus ,CMV 
Cucumber necrosis virus ,CNV
Cucumber vein yellowing virus,
Cucumis anguria ,Pepino cimarrón 
Cucurbit yellow stunting disorder virus,
Cucurbita maxima ssp. andreana ,Zapallito amargo
Curtara samera,
Curtobacterium flaccumfaciens pv. flaccumfaciens,
Curvularia australiensis,
Curvularia cymbopogonis,
Curvularia inaequalis,
Curvularia intermedia,
Curvularia lunata,
Curvularia oryzae,
Curvularia spicifera ,mancha negra 
Curvularia trifolii,
Curvularia uncinata,
Curvularia verruculosa,
Cuscuta campestris ,Cuscuta
Cuscuta epithymum ,Cuscuta
Cyanoliceus patagonus ,Loro barranquero
Cyclaneusma minus ,Tizon cancrosis marchitamiento vascular 
Cyclaneusma niveum,
Cyclocephala signaticollis ,Cascarudo rubio 
Cyclodontina guarani,
Cyclospermum leptophyllum ,Apio cimarrón
Cydia fabivora,
Cydia nigricana,
Cydia pomonella ,Carpocapsa
Cydia spp.,excepto C. pomonella y C. molesta
Cylindrocarpon destructans ,Pudrición del cuello y de raíces
Cymbidium mosaic virus,
Cynodon dactylon ,Gramón
Cynodon hirsutus ,Gramilla mansa
Cyperus corymbosus var. subnodosus,
Cyperus difformis ,Cebollín
Cyperus esculentus ,Horchata
Cyperus ferax,
Cyperus iria,
Cyperus laxus,
Cyperus luzulae,
Cyperus luzulae var. entrerrianus,
Cyperus odoratus ,totorilla
Cyperus pohlii,
Cyperus rigens,
Cyperus rotundus ,Cebollín
Cyphometopus marmoratus ,Capacho gris del pino
Cytospora eucalyptina,
Cytospora sacchari ,Pudricion de las vainas
Cytosporina citriperda,
Dactuliochaeta glycines,
Dactylonectria macrodidyma,
Dactylospora stygia,
Dacus spp.,
Dalbulus maidis,
Damasonium minus,
Dasheen Mosaic Virus,
Dasineura mali,
Dasineura pyri,
Datura ferox ,Chamico 
Datura stramonium,
Daucus pusillus ,Zanahoria silvestre
Davidiella allii-cepae ,Mancha blanca
Davisomycella fragilis,
Delia antiqua ,Mosca de los bulbos
Delia platura ,Mosca de la semilla 
Delia punctipennis ,gusano o mosca punteada del zapallo
Delia sanctijacobi ,mosca
Delphacodes kuscheli ,Vector del mal de Río cuarto
Deltosoma xerophila,
Demodema bonariensis ,Gusano blanco
Dendroctonus spp.,
Dendrolimus spectabilis,
Dendrolimus superans,
Dendrolimus superans sibiricus,
Deois flavopicta,
Dermestes argentinus,
Dermestes patagoniensis,
Deroceras laeve ,Babosa gris chica
Deroceras reticulatum ,Babosa gris grande 
Dersagrena subfoveolata ,Chinche del cártamo
Desarmillaria tabescens,
Descurainia erodiifolia ,Altamisa colorada 
Desmia ploralis,
Desmia ufeus,
Diabrotica balteata,
Diabrotica significata ,Vaquita
Diabrotica speciosa ,Vaquita de San Antonio
Diabrotica virgifera virgifera,
Dialeurodes citrifolii ,Mosca blanca de los citrus 
Diaphania hyalinata,
Diaphania nitidalis,
Diaphorina citri ,Psílido asiático de los citrus
Diaporthe caulivora ,Cancro del tallo de la soja
Diaporthe citri ,Melanosis de los cítricos
Diaporthe meridionalis ,Cancro del tallo de la soja
Diaporthe phaseolorum var. sojae ,Tizón de la vaina y el tallo y prodredumbre de la semilla por phomopsis
Diaprepes abbreviatus,
Diaspidiotus ancylus,
Diaspidiotus ostreaeformis ,Cochinilla ostreiforme 
Diaspis boisduvalii ,Boisduval scale 
Diaspis bromeliae,
Diaspis coccois,
Diatraea dyari ,Barrenador del tallo
Diatraea rufescens,
Diatraea saccharalis ,Barrenador del tallo
Diatrypella favacea,
Dichelops furcatus ,Chinche marrón 
Dichotomophthoropsis safeeulaensis,
Dichroplus elongatus ,Tucura de los alfalfares
Dichroplus maculipennis ,Tucura de alas manchadas
Dichroplus punctulatus,
Dickeya chrysanthemi,
Dickeya dadantii subsp. dieffenbachiae,
Dickeya dianthicola,
Dickeya zeae,
Dicranotropis fuscoterminata,
Dictyosporium cocophylum,
Dictyosporium zeylanicum,
Didymella applanata,
Didymella bryoniae ,podredumbre negra de las cucurbitaceas
Didymella curtisii,
Didymella lentis ,Antracnosis
Didymella maydis,
Didymella pisi ,Antracnosis
Didymella zeae-maydis,
Diedrocephala bimaculata,
Diedrocephala variegata ,Chicharrita
Digitaria insularis ,Pasto amargo
Digitaria longiflora,
Digitaria sanguinalis ,Pasto cuaresma
Dihamaphora bruchi,
Diloboderus abderus ,Bicho torito 
Dilobopterus costalimai ,Chicharrita
Dinoderus bifoveolatus,
Dioryctria abiatella,
Dioryctria amatella,
Dioryctria spp.,
Diplocarpon earlianum,
Diplocarpon mespili,
Diplocarpon rosae ,Mancha negra
Diploschema rotundicolle ,Taladro de los cítricos
Diplotaxis tenuifolia ,Flor amarilla 
Dipodascus reessii ,Podredumbre agria
Dirocoremia bruchi,
Discostroma corticola,
Disonycha conjuncta ,Vaquita listada
Disonychodes exclamationis ,Vaquita verde de franjas negras 
Distichlis scoparia ,Pelo de chancho 
Ditrymacus athiasellus,
Ditula angustiorana,
Ditylenchus aequalis,
Ditylenchus africanus,
Ditylenchus angustus,
Ditylenchus destructor,
Ditylenchus dipsaci - raza alfalfa ,Nematodo de los tallos y bulbos
Ditylenchus dipsaci - raza cebolla ,nematodo del tallo  
Ditylenchus dipsaci - raza papa,
Ditylenchus emus,
Diuraphis noxia ,Pulgón ruso
Dorcacerus barbatus,
Dothichiza caroliniana,
Dothistroma septosporum ,Banda roja
Drechslera avenacea,
Drechslera siccans,
Drepanopeziza populorum,
Drepanopeziza sphaeroides ,Antracnosis del sauce
Drepanothrips reuteri ,Trips de la vid
Drosophila suzukii ,Drosofíla de ala manchada 
Drymaeus interpunctus,
Drymaeus papyraceus,
Drymaeus poecilus,
Duplachionaspis spp.,
Duplaspidiotus koehleri ,cochinilla lineal
Duponchelia fovealis,
Dysaphis apiifolia ,Pulgón del Perejil
Dysaphis aucupariae,
Dysaphis plantaginea,
Dysaphis tulipae ,Pulgón del tulipán
Dyscinetus gagates ,Escarabajo negro
Dyscinetus planatus,
Dysdercus albofasciatus ,Chinche 
Dysdercus chaquensis ,chinche tintorea
Dysdercus ruficollis,
Dysmicoccus brevipes ,Cochinilla harinosa
Dysmicoccus cryptus ,Cochinilla Harinosa
Dysmicoccus neobrevipes,
Dysmicoccus wistariae,
Dyspessa ulula,
Dysphania pumilio ,Paiquito
Eacles ducalis,
Earias insulana,
Earias vittella ,Gusano moteado 
Eburia quadrilineata,
Eburodacrys vittata,
Ecdytolopha aurantianum ,Polilla de la naranja
Echinochloa colona ,Pasto colorado 
Echinochloa crusgalli ,Capín arroz
Echinochloa oryzoides,
Echinodorus grandiflorus ,Cucharero
Echinops ritro subsp. ruthenicus,
Echium plantagineum ,Flor morada
Eclipta prostata,
Ectomyelois ceratoniae,
Edessa meditabunda ,Alquiche chico
Edessa rufomarginata ,alquiche grande
Edwardsiana crataegi,
Edwardsiana froggatti ,Chicharrita 
Eichhornia crassipes,
Eichornia azurea ,camalote
Elaphria nucicolora,
Elasmopalpus lignosellus ,Barrenador menor del maíz 
Eleocharis bonariensis ,cortadera
Eleocharis haumanniana,
Eleusine indica ,Grama carraspera 
Elsinoë ampelina ,Antracnosis
Elsinoë australis ,Sarna del Naranjo Dulce 
Elsinoë fawcetti ,Sarna de los Cítricos 
Elsinoe perseae ,Sarna del Palto 
Elsinoë rosarum,
Elytrigia repens ,Agropiro invasor
Emex australis,
Emilia sonchifolia,
Empoasca decipiens,
Empoasca fabae ,Chicharrita
Empoasca kraemeri ,chicharrita o cotorrita verde
Enarmonia formosana,
Encarsia berlesei,
Endocalyx cinctus,
Endocalyx melanoxanthus,
Enterobacter cloacae,
Entyloma oryzae,
Enyo lugubris,
Eotetranychus carpini,
Eotetranychus pruni,
Eotetranychus sexmaculatus,
Eotetranychus willamettei,
Ephestia elutella,
Ephestia kuehniella,
Ephysteris promptella,
Epicaerus cognatus,
Epicauta adspersa ,Bicho moro
Epicauta atomaria ,Falso bicho moro
Epicauta langei,
Epicauta leopardina ,Bicho moro
Epichoristodes acerbella ,Minador sudafricano del clavel
Epichrysocharis burwelli ,La avispa del eucalipto citriodora
Epicoccum nigrum,
Epicoccum sorghinum,
Epidiaspis leperii ,cochinilla roja del peral 
Epilachna paenulata ,Vaquita de los melones
Epilachna varivestis,
Epilobium tetragonum,
Epinotia aporema ,Barrenador del brote
Epiphyas postvittana,
Epitrimerus pyri,
Epitrix argentinensis ,pulguilla
Epitrix cucumeris ,Pulguilla negra
Epitrix fasciata ,pulguilla
Epitrix hirtipennis ,Pulga morena del tabaco
Epitrix tuberis,
Eragrostis plana,
Eragrostis tenella,
Eremothecium coryli,
Erigeron canadensis,
Eriococcus leguminicola,
Erionota thrax,
Eriophyes erineus ,eriofido del nogal 
Eriophyes pyri ,Ácaro de la yema del peral
Eriosoma lanigerum ,Pulgón lanígero del manzano
Eriosoma lanuginosum ,Pulgón lanígero del peral
Ernakulamia cochinensis,
Ernobius spp.,
Erodium cicutarium ,Alfilerillo 
Erwinia amylovora ,Fuego bacteriano 
Erwinia ixiae,
Erwinia nigrifluens,
Erwinia psidii ,Tizón apical
Erwinia pyrifoliae,
Erwinia rhapontici,
Erwinia rubrifaciens,
Erwinia tracheiphila,
Eryngium cabrerae,
Eryphus laetus,
Erysiphe betae ,Oídio 
Erysiphe diffusa ,Oídio
Erysiphe graminis f.sp. tritici,
Erysiphe heraclei ,Oidio
Erysiphe necator ,Oídio
Erysiphe penicillata,
Erysiphe pisi ,Septoriosis
Erysiphe polygoni ,Oidio
Erysiphe trifolii,
Eschatocerus acaciae,
Essigella californica,
Etiella zinckenella,
Eucalymnatus tessellatus,
Eucarazzia elegans,
Euchroma gigantea goliath,
Euchrysops cnejus,
Eudocima fullonia,
Eudocima salaminia,
Eudromia elegans ,Martineta 
Euetheola humilis ,Cascarudo negro 
Eulachnus rileyi ,Afido
Eulecanium tiliae,
Eumargarodes laingi,
Eumerus strigatus ,Mosca de los bulbos 
Eumerus tuberculatus ,Mosca de bulbos menores
Eumorpha analis ,Esfíngido de la vid
Eumorpha anchemolus,
Eumorpha fasciatus,
Eumorpha labruscae ,Esfíngido de la vid 
Eumorpha vitis,
Euoidium chrysanthemi,
Euphorbia davidii ,Lecherón
Euphorbia dentata ,Lecherón 
Euphorbia esula,
Euphorbia helioscopia,
Euphorbia heterophylla ,Lecherón
Euphorbia mosaic virus ,EuMV
Euphorbia papillosa ,Lechosa 
Euphorbia serpens ,Santa María yuyo 
Euphyllura olivina,
Eupoecilia ambiguella,
Euproctis chrysorrhoea,
Eurysacca media ,Microlepidóptero
Eurysacca melanocampta ,Polilla de la quinua
Euscepes postfasciatus,
Euschistus heros ,Chinche marrón
Eutetranychus banksi ,Ácaro de Texas 
Eutetranychus orientalis,
Eutinobothrus brasiliensis ,Broca 
Eutypa lata ,Pudricion
Euwallacea fornicatus,
Euxoa bilitura ,Oruga cortadora
Euzophera semifuneralis,
Exserohilum monoceras,
Exserohilum turcicum ,Tizón de la hoja
Faronta albilinea ,Oruga desgranadora
Faustinus cubae ,Gusano minador del tabaco
Feltia malefida ,Gusano áspero
Feltia subterranea ,Gusano graneado
Ferrisia malvastra,
Ferrisia virgata,
Fiji disease virus,
Fimbristylis littoralis,
Fiorinia fioriniae,
Fistulina antarctica ,Podredumbre castaña
Fistulina hepatica ,Pudrición castaña
Fitoplasma ArAWB ,Escoba de Bruja
Flaveria bidentis ,Valda
Fomes chaquensis,
Fomitopsis palustris,
Frankliniella australis ,Trips negro de las flores
Frankliniella brevicaulis,
Frankliniella bruneri,
Frankliniella cephalica,
Frankliniella chamulae,
Frankliniella difficilis,
Frankliniella frumenti ,Trips del cogollo
Frankliniella gemina ,trips
Frankliniella intonsa,
Frankliniella minor,
Frankliniella occidentalis ,Trips de las flores
Frankliniella parvula,
Frankliniella rodeos ,Trips de los cítricos
Frankliniella schultzei ,Trips
Frequenamia spiniventris,
Froggattia olivinia,
Fumago salicina,
Fumaria officinalis ,Fumaria
Fusarium acuminatum ,Podredumbre húmeda de zapallos poscosecha 
Fusarium anthophilum,
Fusarium arthrosporioides,
Fusarium blasticola,
Fusarium camptoceras,
Fusarium crassistipitatum ,Síndrome de la muerte súbita
Fusarium culmorum ,Fusariosis
Fusarium elongatum,
Fusarium equiseti,
Fusarium fujikuroi ,Marchitamiento del tallo y podredumbre basal
Fusarium graminearum ,Podredumbre humeda en Zapallo 
Fusarium incarnatum,
Fusarium moniliforme f. sp. subglutinans,
Fusarium neocosmosporiellum,
Fusarium oxysporum ,Podredumbre basal 
Fusarium oxysporum f. pisi ,Fusariosis
Fusarium oxysporum f. sp. betae,
Fusarium oxysporum f. sp. carthami ,Marchitamiento en cártamo 
Fusarium oxysporum f. sp. cepae ,Podredumbre blanda
Fusarium oxysporum f. sp. coriandrii,
Fusarium oxysporum f. sp. cumini,
Fusarium oxysporum f. sp. fragariae,
Fusarium oxysporum f. sp. lactucae,
Fusarium oxysporum f. sp. lentis ,Fusariosis vascular de la lenteja
Fusarium oxysporum f. sp. lycopersici ,Fusariosis del tomate
Fusarium oxysporum f. sp. medicaginis,
Fusarium oxysporum f. sp. raphani,
Fusarium oxysporum f.sp. ciceris ,Fusariosis
Fusarium oxysporum f.sp. conglutinans ,Marchitamiento
Fusarium oxysporum f.sp. cubense,
Fusarium oxysporum f.sp. cucumerinum ,Fusariosis del pepino
Fusarium oxysporum f.sp. gladioli,
Fusarium oxysporum f.sp. lactucum ,podredumbre
Fusarium oxysporum f.sp. lilii,
Fusarium oxysporum f.sp. lini,
Fusarium oxysporum f.sp. narcissi,
Fusarium oxysporum f.sp. phaseoli,
Fusarium oxysporum f.sp. vasinfectum ,Marchitamiento por Fusarium o Fusariosis 
Fusarium pallidoroseum ,Fusarium en semilla de arveja 
Fusarium poae,
Fusarium proliferatum,
Fusarium reticulatum ,Podredumbre húmeda en zapallo
Fusarium sacchari,
Fusarium solani ,Pudrición 
Fusarium solani f.sp. cucurbitae ,Podredumbre de raíz y cuello en zapallo
Fusarium sporotrichioides,
Fusicladium effusum ,Sarna del pecan 
Fusicladium oleagineum ,Ojo de pavo 
Fusicoccum putrefaciens,
Gaeumannomyces graminis var. graminis ,podredumbre de las vainas del cuello o del pie – pietín
Gaeumannomyces graminis var. tritici ,Pietín 
Gaillardia megapotamica ,Yerba de San José 
Galgupha flavobisignata ,chinche
Galinsoga parviflora ,Albahaca silvestre 
Galium aparine ,Lengua de gato 
Gamochaeta calviceps ,Pasto de Santa Rosa 
Gamochaeta pensylvanica ,Algodonosa 
Gamochaeta simplicicaulis ,Peludilla
Ganoderma applanatum ,Caries blanca 
Ganoderma australe,
Ganoderma resinaceum ,Podredumbre blanca
Gargaphia bergi ,Mosquilla del Girasol
Gargaphia torresi ,mosquilla del poroto - chinche
Garlic decline phytoplasma ,GDIII 
Garlic mite borne filamentous virus ,GarMbFV
Garlic virus A ,GarV-A
Garlic virus B ,GarV-B
Garlic virus C ,GarV-C
Garlic virus D ,GarV-D
Gelatinosporium pinicola,
Gelechiidae indeterminado,
Geniocremnus chiliensis,
Geoica lucifuga,
Geosmithia morbida,
Gibberella avenacea,
Gibberella circinata ,Cancro resinoso de los pinos
Gibberella gordonii ,Marchitez por fusarium
Gibberella intricans ,Fusarium en semilla 
Gibberella pulicaris,
Globisporangium debaryanum ,pie negro
Globisporangium irregulare ,podredumbre vascular 
Globisporangium rostratum,
Globisporangium spinosum,
Globisporangium splendens,
Globisporangium ultimum ,pie negro
Globodera pallida,
Globodera rostochiensis,
Globodera tabacum ,Nematodo de quiste del tabaco
Gloeocercospora sorghi,
Gloeophyllum sepiarium,
Gloeosporium malicorticis,
Gloeosporium orbiculare ,antracnosis
Gloeosporium perenne,
Glomerella acutata ,Antracnosis
Glomerella graminicola ,Antracnosis
Glomerella musarum,
Glomerella tucumanensis ,pudricion roja de la nervadura
Gloniopsis australis,
Glycaspis brimblecombei ,Psílido del escudo
Gnaphalium gaudichaudianum ,Vira vira 
Gnathocerus cornutus ,Gorgojo de los cuernos de los cereales
Gnathotrichus fimbriatus,
Gnomoniopsis comari ,Mancha foliar
Golovinomyces cichoracearum ,Oídio
Golovinomyces orontii ,oidio blanco
Gomphrena celosioides,
Gomphrena perennis ,Gonfrena
Gonipterus gibberus ,Gorgojo del eucalipto
Gonipterus pulverulentus,
Gonipterus scutellatus ,Gorgojo del eucalipto
Gracilacus epacris,
Grapevine enation agent,
Grapevine Fanleaf Virus ,GFLV 
Grapevine flavescence dorée phytoplasma ,Grapevine yellows
Grapevine fleck virus ,Fleck
Grapevine Leafroll associated Virus ,GLRaV 
Grapevine leafroll-associated virus 1 ,GLRaV-1
Grapevine leafroll-associated virus 2 ,GLRaV-2
Grapevine leafroll-associated virus 3 ,GLRaV-3
Grapevine virus A ,GVA
Grapevine virus B ,GVB
Grapevine yellow speckle viroid,
Grapholita funebrana,
Grapholita molesta ,Grafolita
Grifola gargal ,Podredumbre blanca
Groundnut ring spot virus ,GRSV 
Gryllus argentinus,
Guar symptomless virus ,GSLV
Guignardia baccae,
Guignardia mangiferae,
Guignardia vaccinii,
Gymnosporangium spp.,
Gyropsylla spegazziniana ,Rulo o psilido de la yerba mate
Gyrothrix podosperma,
Haematonectria haematococca ,fusariosis
Halyomorpha halys,
Halysidota ruscheweyhi ,Gatula
Haplothrips trellesi ,Trips
Hedylepta indicata,
Heilipus albopictus,
Heilipus lauri,
Heilipus pittieri,
Heilipus trifasciatus,
Helianthus petiolaris ,Girasolcito  
Helicobasidium purpureum ,Manchón de los alfalfares
Helicoceras oryzae ,Podredumbre castaño rojiza de la vaina
Helicoma dennisii,
Helicomyces colligatus,
Helicomyces roseus,
Helicomyia saliciperda,
Helicotylenchus dihystera ,Nemátodo espiral común
Helicotylenchus multicinctus,
Helicotylenchus pseudorobustus,
Helicoverpa armigera ,oruga capullera
Helicoverpa gelotopoeon ,Oruga bolillera 
Helicoverpa zea ,Isoca de la espiga
Heliothis gelotopoeon,
Heliothrips haemorrhoidalis ,Trips de los invernaderos
Heliotropium europaeum,
Helminthosporium velutinum,
Helodytes foveolatus,
Hemiberlesia cyanophylli ,Queresa 
Hemiberlesia diffinis,
Hemiberlesia lataniae,
Hemiberlesia latastei ,Cochinilla parda del olivo
Hemiberlesia rapax ,Escama del nogal 
Hemileia coffeicola,
Heterachthes plagiatus,
Heteranthera reniformis,
Heterobasidium annosum,
Heterobostrychus aequalis,
Heterodera avenae,
Heterodera cajani,
Heterodera fici,
Heterodera glycines ,Nemátodo del quiste de la soja
Heterodera mediterranea,
Heterodera sacchari,
Heterodera schachtii,
Heterodera trifolii,
Heterodera zeae,
Heteronychus arator,
Heterotheca subaxillaris ,Falso Alcanfor
Heterothrips stellae,
Hibiscus latent ringspot virus,
Hibiscus trionum,
Hieracium tomentosum,
Hirschfeldia incana ,Nabo amarillo 
Hirschmanniella oryzae,
Homalodisca coagulata,
Homoeosoma heinrichi ,Polilla del girasol
Hop stunt viroid ,caquexia 
Hoplocampa minuta,
Hoplolaimus coronatus,
Hoplolaimus seinhorsti,
Horcias nobilellus ,Chinche rayada 
Horciasinus argentinus,
Huequenia livida ,Taladro del pehuén
Hyadaphis coriandri,
Hyadaphis foeniculi,
Hyalesthes obsoletus,
Hyalis argentea ,Olivillo 
Hyaloperonospora parasitica ,Mildiu de las cruciferas
Hyalopterus pruni,
Hyalorbilia inflatula,
Hybanthus parviflorus ,Violetilla
Hydrellia griseola,
Hydrilla verticillata,
Hydropisphaera arenula,
Hylastes ater ,Escarabajo de la corteza
Hylesia nigricans ,Bicho quemador
Hylesinus antipodus,
Hylesinus oleiperda ,Taladrillo del olivo
Hylobius abietis,
Hylobius pales,
Hylotrupes bajulus ,Bicho taladro 
Hylurgonotus tuberculatus ,Polilla de la araucaria
Hylurgus ligniperda ,Escolito rubio del pino
Hymenachne amplexicaulis,
Hymenula cerealis,
Hypercompe indecisa ,Gata peluda de los almácigos 
Hyperomyzus lactucae ,pulgón de la lechuga
Hyperplatys argentinus,
Hyphantria cunea,
Hyphantus sulcifrons,
Hypochaeris chilensis ,Achicoria amarilla 
Hypothenemus bolivianus,
Hypothenemus elephas,
Hypothenemus eruditus,
Hypothenemus obscurus,
Hypoxylon crocopeplum,
Hypoxylon rubiginosum,
Hypsipyla grandella ,Barrenador del brote cedro
Hyptis capitata,
Ibicella lutea ,Cuernos del diablo 
Icerya purchasi ,Cochinilla acanalada de Australia
Icerya seychellarum,
Illinoia wilson,
Impatiens necrotic spot virus ,INSV
Imperata cylindrica ,Hierba sangrienta japonesa cogón
Incilaria confusa ,Babosa coreana
Indian citrus ringspot virus ,Virus de la mancha anular de los cítricos 
Inocutis jamaicensis ,Podredumbre blanca
Inocutis texana,
Inonotus texanus,
Inopus flavus,
Inopus rubriceps,
Ipomoea grandifolia,
Ipomoea hederacea,
Ipomoea nil ,Enredadera 
Ipomoea purpurea ,Campanilla 
Ipomoea triloba,
Ips spp.,
Iresine diffusa ,iresine 
Iridopsis brittonae ,Oruga defoliadora
Iris severe mosaic virus,
Iris yellow spot virus,
Isariopsis clavispora,
Ischaemum rugosum,
Ischiopachys cribipennis micans,
Isoneurothrips australis,
Isonychus albicinctus ,Coleóptero ancho de las flores
Issatchenkia orientalis,
Issatchenkia terricola,
Iva xanthifolia,
Juncus imbricatus,
Juncus microcephalus,
Kabatiella zeae ,Mancha en Ojo 
Kalanchoe latent virus ,KLV
Kalanchoe mosaic virus,
Keiferia lycopersicella,
Klebsiella oxytoca,
Kybos populi ,Cotorrita
Kyuri green mottle mosaic virus ,KGMMV0
Lacertinella australis,
Lachnellula subtilissima,
Lactuca serriola ,Lechuga silvestre 
Laemophloeus minutus,
Laetiporus portentosus ,Pudrición castaña
Laetiporus sulphureus ,Podredumbre del corazón de la madera 
Lagria villosa ,Vaquita dorada
Lamium amplexicaule ,Ortiga mansa  
Lampides boeticus ,Canela estriada
Largus rufipennis,
Lasiodiplodia theobromae ,Podredumbre del cuello
Lasiothyris luminosa,
Latheticus oryzae ,Carcoma de la harina
Lathyrus aphaca ,Afaca 
Leandria momordicae ,Mancha en red
Lecanodiaspis dendrobii,
Lecanosticta acicola,
Leek yellow stripe virus ,LYSV 
Leersia hexandra ,Pasto de agua
Leifsonia xyli subsp. xyli ,Raquitismo de los retoños o achaparramiento
Lema bilineata ,Babosita del tabaco 
Lepidium bonariense ,Mastuerzo loco 
Lepidosaphes beckii ,Cochinilla coma 
Lepidosaphes gloverii ,Cochinilla coma fina
Lepidosaphes ulmi ,Cochinilla coma
Leptinotarsa decemlineata ,Escarabajo de la papa
Leptochloa chinensis,
Leptochloa panicea ,Pasto moro
Leptocybe invasa ,Avispa de la agalla
Leptoglossus chilensis ,Chinche foliada
Leptoglossus impictus ,Chinche de la papa 
Leptosphaeria avenaria,
Leptosphaeria maculans ,Podredumbre seca de las cruciferas 
Leptosphaeria sclerotioides,
Leptosphaerulina crassiasca ,Mancha en v o quemadura de la hoja
Leptosphaerulina trifolii ,Mancha ocular
Leptotes trigemmatus,
Leptotrochila medicaginis,
Lepus europaeus ,Liebre europea
Lettuce big-vein virus ,Engrosamiento de nervaduras -LBVV
Lettuce mosaic virus ,LMV 
Lettuce necrotic yellow virus ,LNYV 
Leucania humidicola,
Leucania jaliscana,
Leucaspis pusilla ,Cochinilla blanca del pino
Leucaspis riccae,
Leucinodes orbonalis,
Leucoptera malifoliella,
